probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.26669,3,1,2,1,1,1,1,sub-STSWD1216,0.11082941494091784,0.07833343183179216,0.21209929634291458,3rd,3rd,2nd,0.320141900754554,0.24049706775089263,-0.32633622575605753
1,0.25959,3,1,1,1,1,1,1,sub-STSWD1216,0.3408328495151645,-0.25892949751299255,0.39191905666072785,3rd,2nd,3rd,0.320141900754554,-0.3329187396169595,0.5458885805074755
1,0.26148,3,1,1,1,1,1,1,sub-STSWD1216,0.1573527378079074,-0.7552456832057362,0.42795629617363984,3rd,1st,3rd,0.320141900754554,-1.1240579115218812,0.5458885805074755
1,0.51641,2,3,2,1,1,1,1,sub-STSWD1216,-0.2711013825150539,1.1429319234861184,0.5959871611180225,2nd,4th,3rd,-0.2640363056093601,1.2150354947650404,0.5458885805074755
1,0.63833,2,3,2,1,1,1,1,sub-STSWD1216,0.1582088934432727,0.4283308255915083,0.36391289630997675,3rd,3rd,3rd,0.320141900754554,0.24049706775089263,0.5458885805074755
1,0.63918,1,3,1,1,1,1,1,sub-STSWD1216,1.6843609886705373,-0.5797657299404263,0.07443940190297248,4th,2nd,2nd,1.1897887619703815,-0.3329187396169595,-0.32633622575605753
0,0.79421,4,3,2,1,1,1,1,sub-STSWD1216,-1.4177622610755714,0.42869989693676597,0.03532448251930424,1st,3rd,2nd,-1.2450177071914317,0.24049706775089263,-0.32633622575605753
1,1.0201,4,3,2,1,1,1,1,sub-STSWD1216,-0.08392314790216207,0.2068075387483146,-0.0767917475124864,2nd,3rd,2nd,-0.2640363056093601,0.24049706775089263,-0.32633622575605753
1,0.76908,1,3,2,1,1,1,1,sub-STSWD1216,0.3012240717152707,0.225948371229493,-0.014576024651305025,3rd,3rd,2nd,0.320141900754554,0.24049706775089263,-0.32633622575605753
1,0.662,1,3,1,1,1,1,1,sub-STSWD1216,2.373326851564463,0.951010767447207,0.6054375692795277,4th,4th,3rd,1.1897887619703815,1.2150354947650404,0.5458885805074755
1,0.53593,1,3,2,1,1,1,1,sub-STSWD1216,0.655044396724189,-0.31161421970246994,0.5353410576690965,4th,2nd,3rd,1.1897887619703815,-0.3329187396169595,0.5458885805074755
1,0.46382,1,2,1,1,1,1,1,sub-STSWD1216,0.43988913783548395,-0.4602892504981968,0.8481496444892652,3rd,2nd,3rd,0.320141900754554,-0.3329187396169595,0.5458885805074755
0,0.66975,4,2,2,1,1,1,1,sub-STSWD1216,-0.0550647627295911,-1.3441029673031681,0.9284582498712922,2nd,1st,4th,-0.2640363056093601,-1.1240579115218812,1.1578203628413646
0,0.87568,1,2,2,1,1,1,1,sub-STSWD1216,2.298532792243293,-4.200069228255803,0.8998223838550832,4th,1st,4th,1.1897887619703815,-1.1240579115218812,1.1578203628413646
1,0.83461,4,2,1,1,1,1,1,sub-STSWD1216,-0.9911964685306043,-0.17189661932687078,0.9485919358183699,1st,2nd,4th,-1.2450177071914317,-0.3329187396169595,1.1578203628413646
1,0.6745,4,2,1,1,1,1,1,sub-STSWD1216,-0.08056450511992111,-0.4943835754055192,0.5491254226086011,2nd,2nd,3rd,-0.2640363056093601,-0.3329187396169595,0.5458885805074755
1,0.62043,4,2,1,1,1,1,1,sub-STSWD1216,-0.7201794611497983,1.8071155602442512,0.585143082719352,1st,4th,3rd,-1.2450177071914317,1.2150354947650404,0.5458885805074755
1,0.5434,1,2,1,1,1,1,1,sub-STSWD1216,0.8498629395460359,0.808673863008143,-0.1004681159323237,4th,4th,2nd,1.1897887619703815,1.2150354947650404,-0.32633622575605753
1,0.48127,1,2,2,1,1,1,1,sub-STSWD1216,-0.7464440504249734,-0.8687610002772247,0.052514785062073195,1st,1st,2nd,-1.2450177071914317,-1.1240579115218812,-0.32633622575605753
1,0.39118,1,1,1,1,1,1,1,sub-STSWD1216,0.27155241445625233,0.988505384872119,0.31789118862962856,3rd,4th,3rd,0.320141900754554,1.2150354947650404,0.5458885805074755
1,0.24412,1,1,1,1,1,1,1,sub-STSWD1216,-0.8281628951135139,-0.821333474249942,0.5047985445824293,1st,1st,3rd,-1.2450177071914317,-1.1240579115218812,0.5458885805074755
