subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin,bin_id,ams_bin_cpp
sub-18,1.0,0.259237000020221,a,0.5462508055017937,-1.818480203614967,1.5968122448679063,3rd,1st,4th,0.4819890124616554,-1.30368509082108,1.3004980638498875,641,0.547008437059967
sub-15,0.0,0.455947000009473,f,0.5464568659644821,-0.3059835336491671,0.4249826696777072,3rd,2nd,3rd,0.4706203904159861,-0.1323354925524285,0.3089024228791431,641,0.547008437059967
sub-15,0.0,0.394325300003402,f,0.5466962170699137,-2.427363684175544,-1.78684311935604,3rd,1st,1st,0.4706203904159861,-1.319360288440674,-1.2476667055669073,641,0.547008437059967
sub-16,1.0,0.406323899980634,f,0.546990117670118,-0.9425799267396876,0.5622455708156341,3rd,1st,3rd,0.3418155237690443,-1.223261614323064,0.3880503029157089,641,0.547008437059967
sub-18,1.0,0.332192900008522,f,0.5470464154180915,-2.148642447926182,-1.1286800436735152,3rd,1st,1st,0.4819890124616554,-1.30368509082108,-1.1711749946054466,641,0.547008437059967
sub-03,1.0,0.3155388,f,0.5470983953052092,0.8027843209401012,0.0260154576900204,3rd,4th,3rd,0.2960600786664989,1.2974976574250376,0.340384711170971,641,0.547008437059967
sub-09,1.0,0.432873900048435,a,0.54763357502199,1.3909044402259936,1.1302127768895296,4th,4th,4th,1.0226818298521736,1.152728877336815,1.277019940573856,641,0.547008437059967
sub-15,0.0,0.698358600027859,f,0.5478594059089531,0.953957994975744,-0.5634196131652252,3rd,4th,2nd,0.4706203904159861,1.0985270306511667,-0.3095557878595895,641,0.547008437059967
sub-19,1.0,0.593952500028536,f,0.5480445220377591,-0.9992700253868604,0.9070316948689782,3rd,1st,4th,0.2876759003414911,-1.2343047440630983,1.1820699718767245,641,0.547008437059967
sub-05,0.0,0.417933999997331,a,0.5484892474707422,0.2855301656501472,0.4328325364852215,3rd,3rd,3rd,0.4536186193268918,0.4137397788718945,0.3168240136875336,641,0.547008437059967
sub-02,1.0,0.3079451,f,0.5485856525604142,0.0992344344226767,0.26859639847806,3rd,3rd,3rd,0.3336741701845891,0.2808141643656214,0.3687211452757045,641,0.547008437059967
sub-02,0.0,0.6172554,f,0.5486861819729653,0.3491962736059813,-0.327125075650432,3rd,3rd,2nd,0.3336741701845891,0.2808141643656214,-0.1394768399378666,641,0.547008437059967
sub-07,0.0,0.314445800031535,f,0.5489756919881665,-0.6079244978381643,0.5976274532476153,4th,1st,3rd,0.813811793056568,-0.7017416724813618,0.4345393507475761,641,0.547008437059967
sub-14,1.0,0.316782100009732,f,0.5493920478230111,0.7142934082759006,1.209748569870709,3rd,4th,4th,0.4141380430291618,1.255173993046745,1.137006482427555,642,0.550267178139024
sub-07,1.0,0.377491499995813,f,0.5494284814305627,0.374593184043583,-0.8065709615833576,4th,4th,1st,0.813811793056568,0.7581736475407744,-1.3786416015535896,642,0.550267178139024
sub-13,0.0,0.357418700004928,f,0.5494500700035778,0.5270327745172387,-0.7529305580978861,3rd,3rd,2nd,0.3361811569603536,0.2993965196826416,-0.3892423808585573,642,0.550267178139024
sub-03,0.0,0.3934001,a,0.549464341628525,-0.25992800331605,-0.6050034670704637,3rd,2nd,1st,0.2960600786664989,-0.3878843766769149,-1.2221655265730949,642,0.550267178139024
sub-06,0.0,0.362606000038795,a,0.5495216636629024,0.39364299948264,-0.2507730784698716,3rd,3rd,2nd,0.5151445930410532,0.4474466470634959,-0.3695407186974503,642,0.550267178139024
sub-05,1.0,0.286524499999359,f,0.5496805895112804,-1.242156689330737,0.0929286843932399,3rd,1st,3rd,0.4536186193268918,-1.350494632246282,0.3168240136875336,642,0.550267178139024
sub-12,0.0,0.302127100061625,a,0.5497223787913517,-0.4097348992162031,0.7145206961739344,3rd,2nd,4th,0.3417435439474494,-0.3244618389738705,1.2385809550708111,642,0.550267178139024
sub-15,0.0,0.50309000001289,a,0.5497733510530094,0.3677086177963459,1.6054070069664312,3rd,3rd,4th,0.4706203904159861,0.3590587516296171,1.2538900111972056,642,0.550267178139024
sub-16,0.0,0.61995309998747,f,0.549827182317876,1.0709532973605342,-1.3603483569042034,3rd,4th,1st,0.3418155237690443,1.3211933562540663,-1.296676604691821,642,0.550267178139024
sub-20,1.0,0.487655800068751,a,0.5499281381688844,-0.0795695346511573,-0.3648431563844988,3rd,2nd,2nd,0.538907348963851,-0.1328770653560337,-0.2584277149429773,642,0.550267178139024
sub-06,0.0,0.586504599952605,f,0.5499813829832186,-1.4099939382090625,0.5796582514536193,3rd,1st,3rd,0.5151445930410532,-1.3667707029755272,0.3166203385532229,642,0.550267178139024
sub-14,0.0,0.333508899988374,f,0.5502547736607493,0.7451721924073419,-0.1935259821028423,3rd,4th,2nd,0.4141380430291618,1.255173993046745,-0.1767917580343322,642,0.550267178139024
sub-17,1.0,0.295377100002952,f,0.5506210454909631,2.0516325974675027,1.3242065491129722,3rd,4th,4th,0.3114347021877382,1.237502210046722,1.2613149261362109,642,0.550267178139024
sub-05,0.0,0.29923449998023,f,0.5508150154579387,-0.1635810471263927,-3.1290833698220335,3rd,2nd,1st,0.4536186193268918,-0.2479583081114959,-1.2961546573698588,642,0.550267178139024
sub-06,0.0,0.614414100011345,a,0.5508774592797177,-0.1490934526369521,1.4557201092430607,3rd,2nd,4th,0.5151445930410532,-0.2943167877849511,1.2743937791506856,642,0.550267178139024
sub-19,0.0,0.547876700060442,a,0.5509707303616523,-0.8177321159406504,0.0070529937890557,3rd,1st,2nd,0.2876759003414911,-1.2343047440630983,-0.2393331092831689,642,0.550267178139024
sub-15,0.0,0.333042799989926,f,0.5512457109118883,-1.6315556453387472,-0.222163440617979,3rd,1st,2nd,0.4706203904159861,-1.319360288440674,-0.3095557878595895,642,0.550267178139024
sub-04,0.0,0.525644,f,0.5512507479178467,-0.7885613366754783,-0.6245697704325608,3rd,1st,2nd,0.306506175688641,-1.255032058739156,-0.4084667903048427,642,0.550267178139024
sub-16,0.0,0.372559300041758,a,0.5515666612117686,1.5588644400271898,1.0235868044777257,3rd,4th,4th,0.3418155237690443,1.3211933562540663,1.1852054612831762,642,0.550267178139024
sub-20,0.0,0.380052600055933,f,0.5515717911137572,0.7961856253660528,0.2952262136574247,3rd,4th,3rd,0.538907348963851,1.1368401161754205,0.3415061287448191,642,0.550267178139024
sub-02,0.0,0.8918638,f,0.5515720808348138,0.0183890467091608,0.503929427854056,3rd,3rd,3rd,0.3336741701845891,0.2808141643656214,0.3687211452757045,643,0.553055981404911
sub-19,0.0,0.402418400044553,f,0.55161960874914,-0.7961172722695987,1.021211272900124,3rd,1st,4th,0.2876759003414911,-1.2343047440630983,1.1820699718767245,643,0.553055981404911
sub-20,0.0,0.348926899954677,f,0.551706239755677,-1.8101656208539283,0.704815340383491,3rd,1st,4th,0.538907348963851,-1.370887691425796,1.228295448481149,643,0.553055981404911
sub-10,0.0,0.185432299971581,f,0.5518769681096402,-0.9886701093812812,-1.5953044150221145,3rd,1st,1st,0.3446517494260608,-1.2252036265343489,-1.234897725291273,643,0.553055981404911
sub-11,0.0,0.255681700073183,f,0.552039824602992,0.0825459642445308,4.111886846745376,3rd,3rd,4th,0.3023997853291594,0.3108360557040671,1.3610642170891087,643,0.553055981404911
sub-17,0.0,0.490409199963324,f,0.5523588181673323,-1.131227775669342,0.1221098712634044,3rd,1st,3rd,0.3114347021877382,-1.2240855161984534,0.3311913639702701,643,0.553055981404911
sub-11,0.0,0.33635930006858,a,0.5524107341000224,-1.3321988995584528,-0.6182720427553897,3rd,1st,2nd,0.3023997853291594,-1.2454835283352628,-0.4700966070251631,643,0.553055981404911
sub-11,1.0,0.416815200005658,f,0.5527580136327968,0.4373029377536002,-0.4360557745302421,3rd,3rd,2nd,0.3023997853291594,0.3108360557040671,-0.4700966070251631,643,0.553055981404911
sub-04,1.0,0.5092715,a,0.5530690485750679,1.638303955252209,-0.8412829761545801,3rd,4th,1st,0.306506175688641,1.231398571603478,-1.234350877293508,643,0.553055981404911
sub-04,1.0,0.3359957,f,0.5532020265110781,0.1414213621493198,-0.2808316966157071,3rd,3rd,2nd,0.306506175688641,0.3044011459287479,-0.4084667903048427,643,0.553055981404911
sub-05,0.0,0.293749599979492,f,0.5533270743923718,0.3065346081645136,0.1397713248091494,3rd,3rd,3rd,0.4536186193268918,0.4137397788718945,0.3168240136875336,643,0.553055981404911
sub-15,1.0,0.47137310000835,f,0.55333969542737,-0.1816927919386525,-1.5427628189329643,3rd,2nd,1st,0.4706203904159861,-0.1323354925524285,-1.2476667055669073,643,0.553055981404911
sub-03,1.0,0.3777102,f,0.5534153444640099,-0.759278755945464,-0.5148222132213195,3rd,1st,1st,0.2960600786664989,-1.1109530416289406,-1.2221655265730949,643,0.553055981404911
sub-16,0.0,0.599806900019757,f,0.5534732839757925,-0.5379520872745306,-0.6644570087673871,3rd,2nd,1st,0.3418155237690443,-0.3938858249753763,-1.296676604691821,643,0.553055981404911
